RespondentID,Seen_any_SW,SW_fan,Episode_1_seen,Episode_2_seen,Episode_3_seen,Episode_4_seen,Episode_5_seen,Episode_6_seen,Episode_1_rank,Episode_2_rank,Episode_3_rank,Episode_4_rank,Episode_5_rank,Episode_6_rank,han_solo,luke_skywalker,princess_leia_organa,anakin_skywalker,obi_wan_kenobi,emperor_palpatine,darth_vader,lando_calrissian,boba_fett,c-3p0,r2_d2,jar_jar_binks,padme_amidala,yoda,1st_shot,familiar_exp_universe,fan_exp_universe,fan_star_trek,gender,income,location,NaN,18-29,30-44,45-60,> 60,Response,edu_NaN,edu_less_HS,edu_HS,edu_Some_collage/AD,edu_BD,edu_GD
,Response,Response,1,1,1,1,1,1,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,Han Solo,Luke Skywalker,Princess Leia Organa,Anakin Skywalker,Obi Wan Kenobi,Emperor Palpatine,Darth Vader,Lando Calrissian,Boba Fett,C-3P0,R2 D2,Jar Jar Binks,Padme Amidala,Yoda,Response,Response,Response,Response,Response,0,Response,0,1,0,0,0,0,1,0,0,0,0,0
3292879998.0,1,1,1,1,1,1,1,1,3,2,1,4,5,6,5,5,5,5,5,5,5,6,6,5,5,5,5,5,I don't understand this question,1,0,0,Male,0,South Atlantic,0,1,0,0,0,0,0,0,1,0,0,0
3292765271.0,1,0,1,1,1,0,0,0,1,2,3,4,5,6,4,4,4,4,4,6,6,6,6,6,6,6,6,6,I don't understand this question,0,,0,Male,2,West North Central,0,1,0,0,0,0,0,0,1,0,0,0
3292763116.0,1,1,1,1,1,1,1,1,5,6,1,2,4,3,5,5,5,5,5,4,5,4,3,5,5,5,5,5,I don't understand this question,0,,1,Male,3,West North Central,0,1,0,0,0,0,0,0,0,1,0,0
3292731220.0,1,1,1,1,1,1,1,1,5,4,6,2,1,3,5,4,4,3,5,2,4,1,5,4,4,2,4,4,Greedo,1,0,0,Male,3,West North Central,0,1,0,0,0,0,0,0,0,1,0,0
3292719380.0,1,1,1,1,1,1,1,1,1,4,3,6,5,2,5,5,5,5,5,1,5,1,4,4,4,4,1,5,Han,1,0,1,Male,4,Middle Atlantic,0,1,0,0,0,0,0,0,0,0,1,0
3292684787.0,1,1,1,1,1,1,1,1,6,5,4,3,1,2,5,5,4,4,5,5,5,5,5,4,5,3,4,5,Han,1,0,0,Male,0,East North Central,0,1,0,0,0,0,0,0,1,0,0,0
3292663732.0,1,1,1,1,1,1,1,1,4,5,6,3,2,1,5,4,5,1,5,2,3,1,4,4,4,2,3,5,Han,0,,1,Male,0,South Atlantic,0,1,0,0,0,0,0,0,1,0,0,0
3292654043.0,1,1,1,1,1,1,1,1,5,4,6,2,1,3,5,3,4,4,4,5,5,5,5,1,4,2,3,4,Han,0,,0,Male,2,South Atlantic,0,1,0,0,0,0,0,0,0,1,0,0
3292640424.0,1,0,0,1,0,0,0,0,1,2,3,4,5,6,1,5,5,5,5,3,5,3,3,5,5,5,3,5,I don't understand this question,0,,0,Male,4,Pacific,0,1,0,0,0,0,0,0,0,1,0,0
3292637870.0,1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,0,0,0,1,0,0,0,0,0,0
3292609214.0,1,0,1,1,1,1,1,1,3,4,5,6,1,2,4,5,4,4,4,4,5,1,4,5,5,5,4,5,Greedo,0,,0,Male,4,South Atlantic,0,1,0,0,0,0,0,0,0,0,1,0
3292596911.0,1,1,1,1,1,1,1,1,4,5,6,2,3,1,5,5,5,4,5,6,2,6,1,5,5,6,5,5,I don't understand this question,0,,0,Male,5,Mountain,0,0,1,0,0,0,0,0,0,0,0,1
3292587240.0,1,1,1,1,1,1,1,1,4,2,5,3,1,6,4,5,5,4,5,2,2,2,2,5,5,5,5,5,Han,0,,0,Male,0,East North Central,0,1,0,0,0,0,0,0,1,0,0,0
3292583038.0,1,1,1,1,1,1,1,1,4,6,5,3,1,2,5,4,4,3,5,4,5,4,5,3,1,2,2,4,Han,1,1,1,Male,2,West South Central,0,1,0,0,0,0,0,0,0,1,0,0
3292580516.0,1,1,0,0,0,1,0,0,4,1,2,3,5,6,1,4,3,1,2,4,3,1,4,1,3,1,3,2,Han,1,1,0,Male,5,New England,0,1,0,0,0,0,0,0,0,0,1,0
3292572872.0,1,1,1,1,1,0,0,1,1,2,3,4,5,6,5,5,5,5,5,4,5,1,4,5,5,5,5,5,Greedo,0,,0,Male,0,Middle Atlantic,0,1,0,0,0,0,0,0,0,1,0,0
3292565282.0,1,1,1,1,1,1,1,1,6,5,2,3,1,4,5,5,5,5,5,5,5,4,5,5,5,2,3,5,Han,0,,0,Male,0,South Atlantic,0,1,0,0,0,0,0,0,1,0,0,0
